employee_id	gender	education	family_status	hire_date	passposrt	phone	home_address	name	birthday	contract_type
1	Ж	Неполное высшее образование	Женат/Замужем	14/02/2007	9680 9486165	+33 (129) 126-5983	16 Johnson Alley	Bartram Cancutt	02/06/1988	Трудовой договор
2	М	Среднее образование	Женат/Замужем	16/02/2006	8707 4293622	+7 (870) 331-9519	2 Heath Place	Averyl Gleadhell	09/01/1974	Трудовой договор
3	М	Неполное среднее образование	Женат/Замужем	15/11/2013	5897 6549400	+57 (307) 295-0408	50 Transport Drive	Kimberly Beckhurst	18/08/1966	Срочный договор
4	М	Высшее образование	Не женат/Не замужем	24/05/2013	4126 3041987	+54 (474) 734-7446	04 Mayfield Park	Jessie Martello	25/02/1966	Гражданско-правовой договор
5	М	Неполное среднее образование	Не женат/Не замужем	04/05/2007	9863 3774018	+86 (108) 758-3585	62598 Fisk Place	Lizabeth Crowden	22/03/1973	Трудовой договор
6	М	Неполное высшее образование	Не женат/Не замужем	04/03/2008	5407 4176291	+33 (881) 413-0401	5 Spaight Road	Gaston Knight	14/12/1969	Срочный договор
7	Ж	Неполное среднее образование	Не женат/Не замужем	13/05/2008	5673 2464767	+62 (505) 161-1134	3 Holy Cross Drive	Tadd Robinet	08/12/1993	Трудовой договор
8	Ж	Среднее образование	Не женат/Не замужем	25/02/2017	3687 3313300	+358 (510) 342-0102	2403 Pearson Circle	Cthrine Calverd	09/08/1995	Трудовой договор
9	М	Высшее образование	Не женат/Не замужем	25/09/2018	7044 1786281	+351 (361) 522-3894	5312 Sommers Lane	Mark Buck	24/03/1983	Трудовой договор
10	М	Неполное среднее образование	Не женат/Не замужем	22/01/2000	3075 4091538	+63 (991) 486-5975	926 7th Crossing	Julita Etter	30/11/1968	Трудовой договор
11	М	Среднее образование	Не женат/Не замужем	16/04/2020	1973 3125299	+66 (477) 746-9790	6 Upham Trail	Cynthie Phettiplace	17/10/1978	Трудовой договор
12	М	Высшее образование	Женат/Замужем	15/11/2015	9024 8720806	+52 (929) 921-6522	637 Sutteridge Trail	Thorpe Fitzsimon	27/11/1989	Срочный договор
13	Ж	Неполное среднее образование	Женат/Замужем	28/01/2012	5668 3688905	+62 (151) 633-5691	65 Sloan Terrace	Noni Delahunty	27/06/1977	Гражданско-правовой договор
14	Ж	Высшее образование	Не женат/Не замужем	27/02/2005	7248 9329743	+7 (826) 471-2444	3745 Cody Avenue	Talbert Fesby	07/09/1985	Срочный договор
15	М	Неполное высшее образование	Женат/Замужем	27/07/2012	3854 5153207	+53 (475) 482-1786	8 Wayridge Center	Kinsley Lineen	17/08/1987	Гражданско-правовой договор
16	М	Неполное высшее образование	Не женат/Не замужем	06/11/2012	6004 6952232	+86 (321) 134-1200	22942 Buena Vista Circle	Ibbie Nise	23/08/1976	Срочный договор
17	Ж	Неполное высшее образование	Женат/Замужем	07/01/2007	7967 3527985	+850 (712) 145-8000	17425 Helena Court	Ceil Spurr	09/10/1979	Трудовой договор
18	М	Неполное среднее образование	Женат/Замужем	01/12/2009	2918 6845126	+86 (898) 571-2096	8 Bayside Place	Helge Saunderson	11/06/1977	Срочный договор
19	Ж	Неполное высшее образование	Женат/Замужем	17/08/2004	1853 1721148	+55 (705) 899-0837	81455 Arizona Park	Cathleen Henderson	12/02/1989	Гражданско-правовой договор
20	М	Среднее образование	Женат/Замужем	17/07/2002	9210 1560269	+86 (275) 796-8838	2229 Cordelia Pass	Marisa Aubert	30/09/1983	Гражданско-правовой договор
21	Ж	Неполное среднее образование	Женат/Замужем	01/11/2004	3305 9504535	+86 (670) 826-4341	57 Cherokee Junction	Elroy Dreelan	06/02/1984	Трудовой договор
22	Ж	Среднее образование	Женат/Замужем	15/07/2013	5292 8535062	+7 (976) 925-2526	7 Cottonwood Street	Gayleen O'Hartagan	30/10/1971	Срочный договор
23	Ж	Среднее образование	Не женат/Не замужем	20/12/2009	4780 5138637	+49 (435) 977-5736	171 Maple Pass	Ker Tighe	02/03/1994	Трудовой договор
24	Ж	Неполное высшее образование	Женат/Замужем	01/04/2018	2045 1279854	+7 (355) 747-9823	998 Union Drive	Angy Heathcott	27/06/1971	Трудовой договор
25	М	Высшее образование	Женат/Замужем	16/07/2007	9784 4200606	+63 (771) 878-4372	0139 Northwestern Junction	Lana Chestney	08/06/1993	Срочный договор
26	М	Неполное среднее образование	Не женат/Не замужем	28/09/2013	8139 7967201	+62 (308) 720-4757	13010 Montana Parkway	Luigi Vanyukov	31/07/1972	Трудовой договор
27	Ж	Среднее образование	Женат/Замужем	22/05/2015	1775 1163230	+66 (804) 545-0122	313 Barby Trail	Shea Purcell	05/08/1968	Гражданско-правовой договор
28	М	Высшее образование	Не женат/Не замужем	27/10/2019	2528 1994065	+48 (560) 371-3628	22 Rutledge Drive	Anatollo Curl	15/10/1994	Гражданско-правовой договор
29	Ж	Неполное высшее образование	Не женат/Не замужем	21/12/2003	3759 2767035	+7 (352) 570-6109	3853 Becker Court	Weston Lutzmann	15/10/1970	Срочный договор
30	М	Среднее образование	Не женат/Не замужем	13/09/2013	2103 2410206	+850 (181) 622-7845	477 Emmet Terrace	Jakie Cramp	18/09/1974	Трудовой договор
31	М	Среднее образование	Не женат/Не замужем	07/11/2003	3983 4305260	+63 (499) 938-5203	998 Basil Hill	Amalea Cammocke	30/08/1987	Срочный договор
32	М	Неполное высшее образование	Женат/Замужем	12/11/2014	4689 4279589	+92 (493) 728-0161	0 Mockingbird Circle	Ferdinanda Haddick	18/09/1988	Трудовой договор
33	Ж	Неполное среднее образование	Не женат/Не замужем	07/03/2016	3567 2363744	+54 (132) 385-5897	85645 Cascade Terrace	Nina Wicklen	26/05/1966	Срочный договор
34	М	Неполное среднее образование	Не женат/Не замужем	21/11/2003	7272 7429437	+86 (839) 624-9285	16 Westport Park	Donica Fairney	07/06/1974	Трудовой договор
35	Ж	Неполное высшее образование	Не женат/Не замужем	20/07/2001	1573 2265759	+33 (702) 775-9417	154 Anderson Way	Cammy Monck	10/04/1986	Гражданско-правовой договор
36	М	Неполное высшее образование	Женат/Замужем	31/08/2011	2889 3163807	+351 (608) 470-8247	37523 Brown Terrace	Adore Benz	01/08/1984	Гражданско-правовой договор
37	М	Неполное среднее образование	Женат/Замужем	09/03/2020	6949 4333994	+86 (887) 967-6030	0226 5th Street	Ollie Godsell	16/02/1985	Гражданско-правовой договор
38	Ж	Неполное высшее образование	Женат/Замужем	17/06/2007	3741 1520936	+1 (491) 767-9664	61345 Kingsford Trail	Kippie Kindon	26/03/1971	Гражданско-правовой договор
39	М	Неполное среднее образование	Женат/Замужем	22/09/2003	5037 6761731	+55 (292) 475-9231	122 Starling Alley	Maureene Shakle	20/01/1983	Трудовой договор
40	Ж	Высшее образование	Женат/Замужем	01/02/2003	5431 6033938	+86 (731) 776-3371	32406 Leroy Plaza	Bathsheba Dyne	10/09/1965	Срочный договор
41	Ж	Неполное среднее образование	Не женат/Не замужем	28/05/2016	2343 6012603	+63 (888) 706-8364	2713 Hanson Alley	Catie Vaud	18/04/1978	Срочный договор
42	Ж	Неполное среднее образование	Не женат/Не замужем	04/11/2011	3528 4643576	+84 (220) 426-5251	1604 Buena Vista Place	Iolanthe Hrishanok	02/10/1982	Гражданско-правовой договор
43	М	Среднее образование	Женат/Замужем	28/05/2004	2257 7151809	+33 (793) 346-3236	3 American Point	Melanie Mallabar	06/02/1977	Трудовой договор
44	М	Высшее образование	Не женат/Не замужем	16/02/2015	5863 3833288	+55 (711) 923-8872	655 Anniversary Circle	Benjamen Stollberger	29/03/1973	Гражданско-правовой договор
45	М	Среднее образование	Женат/Замужем	13/12/2001	5052 8140082	+62 (710) 812-2881	24886 Rusk Pass	Victoria Spurgin	10/06/1990	Трудовой договор
46	М	Высшее образование	Не женат/Не замужем	06/05/2015	9466 3662186	+34 (626) 474-7843	4 Northview Hill	Ann Cicconettii	08/01/1978	Трудовой договор
47	М	Среднее образование	Женат/Замужем	13/04/2018	1724 3897836	+7 (878) 962-8462	69294 Erie Street	Terrence Bidder	10/03/1989	Срочный договор
48	М	Неполное среднее образование	Женат/Замужем	14/05/2017	6913 4982453	+55 (446) 816-9448	87 Waywood Lane	Anneliese Jandl	04/12/1982	Срочный договор
49	Ж	Неполное высшее образование	Не женат/Не замужем	06/01/2008	4947 1812758	+1 (767) 173-6413	3863 Basil Parkway	Huey Basindale	08/10/1981	Гражданско-правовой договор
50	М	Среднее образование	Не женат/Не замужем	08/01/2003	3302 7439615	+33 (378) 180-7354	09 Reindahl Pass	Cynthie Jonuzi	04/07/1973	Трудовой договор
51	М	Неполное высшее образование	Не женат/Не замужем	12/09/2006	3290 1716854	+502 (251) 643-7350	81614 Shoshone Street	Borg Tidbury	04/04/1968	Срочный договор
52	М	Высшее образование	Не женат/Не замужем	05/11/2003	8857 4564721	+86 (106) 688-2432	47 Stoughton Center	Giacinta Tappington	05/10/1992	Срочный договор
53	Ж	Высшее образование	Не женат/Не замужем	19/06/2015	9915 9765577	+98 (280) 231-6198	28203 Moulton Street	Hurley Mutter	15/05/1993	Трудовой договор
54	Ж	Среднее образование	Не женат/Не замужем	17/10/2009	5808 2403836	+53 (843) 391-8823	08 Sullivan Drive	Joly Skim	13/07/1985	Трудовой договор
55	Ж	Высшее образование	Не женат/Не замужем	03/10/2020	7984 2943537	+86 (196) 208-1917	487 Evergreen Park	Julietta Town	07/09/1991	Гражданско-правовой договор
56	Ж	Среднее образование	Женат/Замужем	19/09/2010	7416 2473007	+56 (439) 790-1614	2 High Crossing Place	Hussein Attle	17/06/1977	Трудовой договор
57	М	Неполное высшее образование	Женат/Замужем	10/04/2018	6766 7366399	+66 (754) 876-8740	37 Linden Pass	Kelby Granville	11/06/1971	Гражданско-правовой договор
58	М	Неполное высшее образование	Не женат/Не замужем	07/03/2012	4436 6975795	+46 (269) 310-4003	2912 Waywood Trail	Sullivan Drieu	22/04/1966	Срочный договор
59	Ж	Неполное высшее образование	Не женат/Не замужем	04/05/2014	5422 2052322	+33 (588) 843-0158	1 Mosinee Circle	Nevil Gregolin	31/12/1981	Срочный договор
60	М	Неполное высшее образование	Не женат/Не замужем	04/01/2012	8561 3398349	+63 (142) 230-6109	227 Warrior Street	Rawley Speere	25/07/1976	Трудовой договор
61	М	Среднее образование	Не женат/Не замужем	07/04/2018	1686 8672002	+7 (184) 884-2944	563 Center Parkway	Laurent Mingard	07/06/1994	Трудовой договор
62	М	Высшее образование	Женат/Замужем	04/05/2007	3017 2381259	+58 (294) 923-5300	97 Hermina Pass	Max Fresson	01/09/1968	Гражданско-правовой договор
63	Ж	Неполное высшее образование	Женат/Замужем	13/05/2019	3418 7902592	+57 (447) 894-5634	71 Randy Point	Keven Swyndley	27/12/1992	Трудовой договор
64	М	Высшее образование	Не женат/Не замужем	10/05/2010	7086 5794198	+33 (172) 244-5248	96147 Erie Court	Dasha Puddephatt	17/11/1988	Трудовой договор
65	М	Среднее образование	Не женат/Не замужем	30/07/2005	4357 6284400	+597 (515) 349-1607	7 Merrick Circle	Ced Crowter	04/11/1982	Гражданско-правовой договор
66	М	Среднее образование	Не женат/Не замужем	02/10/2016	8605 9407676	+52 (134) 415-3709	92925 Hayes Avenue	Nikkie Mockett	13/12/1984	Срочный договор
67	М	Высшее образование	Женат/Замужем	28/02/2001	1796 6341351	+86 (716) 504-6703	21 8th Lane	Worth Okill	18/08/1970	Гражданско-правовой договор
68	М	Высшее образование	Женат/Замужем	30/08/2002	8281 6885359	+86 (855) 533-5350	90967 Waxwing Avenue	Alice Ewbanke	24/02/1982	Трудовой договор
69	Ж	Среднее образование	Женат/Замужем	18/03/2009	5466 7839324	+856 (909) 221-5243	00 Transport Junction	Bron Peasegod	14/04/1967	Трудовой договор
70	Ж	Среднее образование	Женат/Замужем	21/11/2018	7772 9729700	+598 (791) 740-6580	886 Merchant Parkway	Hannie Hallgath	16/11/1968	Срочный договор
71	Ж	Среднее образование	Не женат/Не замужем	23/02/2016	3228 1418110	+51 (961) 166-2098	91151 Jenna Road	Danny Guisot	08/01/1967	Срочный договор
72	Ж	Высшее образование	Не женат/Не замужем	05/07/2002	4449 8277946	+54 (903) 383-6424	54736 Alpine Crossing	Sonny Girardi	21/06/1967	Гражданско-правовой договор
73	М	Неполное среднее образование	Не женат/Не замужем	19/05/2000	3572 3238716	+976 (769) 540-1454	07 Mandrake Pass	Parrnell Kitteringham	18/09/1981	Срочный договор
74	М	Неполное высшее образование	Женат/Замужем	04/05/2017	6875 2945598	+86 (811) 381-5476	7 8th Circle	Mufinella Bevans	27/05/1973	Гражданско-правовой договор
75	Ж	Неполное среднее образование	Не женат/Не замужем	29/11/2005	3887 3197258	+48 (949) 569-2490	7646 Morrow Hill	Riki Holt	02/11/1981	Гражданско-правовой договор
76	Ж	Высшее образование	Женат/Замужем	25/12/2004	3817 2671511	+966 (855) 524-4804	8 Linden Avenue	Marshal Storror	13/12/1991	Гражданско-правовой договор
77	М	Высшее образование	Не женат/Не замужем	12/05/2000	7165 1768084	+86 (698) 380-3712	98 Waxwing Court	Munmro Hatcliffe	02/02/1991	Срочный договор
78	М	Среднее образование	Женат/Замужем	27/01/2018	1980 6311080	+63 (902) 458-8094	16 Novick Plaza	Eva Dagworthy	18/01/1987	Гражданско-правовой договор
79	М	Высшее образование	Не женат/Не замужем	11/05/2006	2106 6006832	+7 (565) 107-2151	26017 Jackson Plaza	Lyon Longridge	25/02/1982	Срочный договор
80	Ж	Высшее образование	Женат/Замужем	12/03/2020	3442 1800276	+92 (296) 775-3842	6 Melvin Park	Marji Ruslen	07/02/1980	Гражданско-правовой договор
81	М	Среднее образование	Не женат/Не замужем	21/11/2012	4730 3149040	+62 (915) 682-0385	594 Trailsway Avenue	Allie Croall	30/03/1983	Трудовой договор
82	Ж	Высшее образование	Не женат/Не замужем	05/09/2004	4095 7585428	+86 (221) 774-8975	49318 Forest Run Circle	Troy Duddle	22/03/1965	Трудовой договор
83	Ж	Высшее образование	Женат/Замужем	15/02/2013	6706 4746645	+48 (945) 839-1782	41345 Dexter Parkway	Galina O'Fallone	09/09/1970	Гражданско-правовой договор
84	М	Среднее образование	Женат/Замужем	17/07/2020	8099 9624010	+33 (816) 719-6496	31 Merry Trail	Vyky Salvadori	15/04/1967	Срочный договор
85	Ж	Неполное высшее образование	Женат/Замужем	08/04/2004	2728 3720536	+86 (882) 928-0005	16086 Oak Valley Point	Amy Harnett	31/01/1966	Трудовой договор
86	М	Среднее образование	Женат/Замужем	07/09/2013	5276 8612632	+86 (482) 982-0922	4 Dayton Crossing	Maiga Burfield	19/01/1973	Гражданско-правовой договор
87	Ж	Неполное среднее образование	Не женат/Не замужем	05/03/2008	8238 7104655	+36 (867) 148-3102	926 Graceland Pass	Alexandre Colthurst	18/07/1985	Срочный договор
88	Ж	Среднее образование	Не женат/Не замужем	29/04/2008	6033 5688574	+967 (224) 950-6871	27230 Karstens Plaza	Maddi McCurdy	18/04/1975	Гражданско-правовой договор
89	Ж	Среднее образование	Женат/Замужем	18/01/2014	1384 9082569	+54 (809) 210-6219	200 Talmadge Pass	Maire Fosbraey	06/01/1993	Трудовой договор
90	Ж	Высшее образование	Женат/Замужем	15/10/2003	4578 2083958	+86 (154) 708-8746	1892 Barnett Point	Nikkie De Simoni	07/03/1978	Срочный договор
91	М	Неполное среднее образование	Не женат/Не замужем	05/02/2016	6522 1003290	+62 (250) 821-8944	94781 Darwin Circle	Norry Vigurs	28/02/1990	Трудовой договор
92	Ж	Неполное среднее образование	Женат/Замужем	14/01/2001	5733 8280296	+86 (645) 759-6480	23214 Del Mar Way	Miof mela Bricket	24/04/1983	Срочный договор
93	Ж	Высшее образование	Женат/Замужем	04/05/2007	2029 6584541	+386 (168) 706-7624	610 Golf Road	Linnea Ruff	04/01/1986	Срочный договор
94	М	Неполное среднее образование	Женат/Замужем	18/12/2013	8586 5772178	+58 (387) 661-4437	263 Vernon Circle	Gale Beevor	20/06/1974	Гражданско-правовой договор
95	Ж	Среднее образование	Не женат/Не замужем	02/09/2001	3006 5201061	+20 (858) 533-3806	80 Dawn Road	Jessee Hulke	16/03/1983	Трудовой договор
96	М	Неполное среднее образование	Женат/Замужем	28/04/2017	1168 5678741	+7 (770) 820-6375	91 Village Green Center	Horatius Shilton	06/04/1985	Трудовой договор
97	М	Высшее образование	Не женат/Не замужем	30/07/2002	6599 9109143	+502 (798) 513-1714	694 Dexter Drive	Onfre Coltan	05/11/1982	Трудовой договор
98	Ж	Неполное высшее образование	Не женат/Не замужем	08/12/2001	7387 2132179	+212 (490) 391-5533	07142 Corry Place	Conrado Karran	19/04/1986	Трудовой договор
99	Ж	Высшее образование	Не женат/Не замужем	07/11/2006	2920 2333340	+381 (620) 181-1938	2 Bobwhite Court	Karlotta Ethelston	16/07/1988	Срочный договор
100	Ж	Неполное среднее образование	Женат/Замужем	09/08/2012	9883 7451059	+358 (350) 658-2751	8867 Shelley Parkway	Clyve McKirdy	18/02/1968	Трудовой договор
101	М	Неполное среднее образование	Женат/Замужем	21/04/2016	5475 1089443	+54 (800) 125-9457	4 Mariners Cove Street	Brit Palatini	12/08/1965	Срочный договор
102	М	Неполное высшее образование	Женат/Замужем	06/04/2020	3903 6828257	+66 (597) 183-3658	992 Blue Bill Park Avenue	Leroy Husband	07/07/1975	Срочный договор
103	М	Неполное среднее образование	Женат/Замужем	10/06/2014	2644 2321361	+86 (878) 977-7532	13 Esker Circle	Rennie Overall	26/02/1987	Гражданско-правовой договор
104	Ж	Неполное высшее образование	Не женат/Не замужем	10/06/2020	7880 7105929	+55 (850) 315-9520	366 Barnett Circle	Emmerich Wenderott	13/03/1971	Гражданско-правовой договор
105	Ж	Неполное высшее образование	Не женат/Не замужем	01/12/2017	9461 3967551	+63 (765) 563-3163	014 Mifflin Way	Sharleen Liversedge	19/12/1993	Срочный договор
